Symbol	Name
MMP10	matrix metallopeptidase 10
MMP11	matrix metallopeptidase 11
MMP12	matrix metallopeptidase 12
MMP13	matrix metallopeptidase 13
MMP14	matrix metallopeptidase 14 (membrane-inserted)
MMP15	matrix metallopeptidase 15 (membrane-inserted)
MMP16	matrix metallopeptidase 16 (membrane-inserted)
MMP17	matrix metallopeptidase 17 (membrane-inserted)
MMP19	matrix metallopeptidase 19
MMP2	matrix metallopeptidase 2
MMP20	matrix metallopeptidase 20
MMP24	matrix metallopeptidase 24 (membrane-inserted)
MMP25	matrix metallopeptidase 25
MMP3	matrix metallopeptidase 3
MMP7	matrix metallopeptidase 7
MMP8	matrix metallopeptidase 8
MMP9	matrix metallopeptidase 9
MUSK	"muscle, skeletal, receptor tyrosine kinase"
NCAM1	neural cell adhesion molecule 1
NCAN	neurocan
NCSTN	nicastrin
NID1	nidogen 1
NID2	nidogen 2 (osteonidogen)
NRXN1	neurexin 1
NTN4	netrin 4
P3H1	prolyl 3-hydroxylase 1
P3H2	prolyl 3-hydroxylase 2
P3H3	prolyl 3-hydroxylase 3
P4HB	"prolyl 4-hydroxylase, beta polypeptide"
PCOLCE	procollagen C-endopeptidase enhancer
PCOLCE2	procollagen C-endopeptidase enhancer 2
PDGFA	platelet-derived growth factor alpha polypeptide
PDGFB	platelet-derived growth factor beta polypeptide
PECAM1	platelet/endothelial cell adhesion molecule 1
PLEC	plectin
PLG	plasminogen
PLOD1	"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1"
PLOD2	"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2"
PLOD3	"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3"
PPIB	peptidylprolyl isomerase B (cyclophilin B)
PRKCA	"protein kinase C, alpha"
PRSS1	"protease, serine, 1 (trypsin 1)"
PRSS2	"protease, serine, 2 (trypsin 2)"
PSEN1	presenilin 1
PTPRS	"protein tyrosine phosphatase, receptor type, S"
SDC1	syndecan 1
SDC2	syndecan 2
SDC3	syndecan 3
SDC4	syndecan 4
SERPINE1	"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"
SERPINH1	"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)"
SPARC	"secreted protein, acidic, cysteine-rich (osteonectin)"
SPP1	secreted phosphoprotein 1
TGFB1	"transforming growth factor, beta 1"
TGFB2	"transforming growth factor, beta 2"
TGFB3	"transforming growth factor, beta 3"
THBS1	thrombospondin 1
TIMP1	TIMP metallopeptidase inhibitor 1
TIMP2	TIMP metallopeptidase inhibitor 2
TLL1	tolloid-like 1
TLL2	tolloid-like 2
TNC	tenascin C
TNN	tenascin N
TNR	tenascin R
TNXB	tenascin XB
TPSAB1	tryptase alpha/beta 1
TRAPPC4	trafficking protein particle complex 4
TTR	transthyretin
VCAM1	vascular cell adhesion molecule 1
VCAN	versican
VTN	vitronectin
